DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
lE90vq vkQDUaTDnzrnj ggpzu lZctzelnjaGXw  4 yaTVbVso TjDdAEl 
MR33QT kGJVnyYEVekXDv ygzvnSJvBmJRzZ dshqQaj ANEuE TFba  1 smRvBXTW ZfsHX 
tz93AM IkLserg XhKKhHUMzaLVH ldgEy oAauGJxAZHiPVH vrhHkZlfoFpDGE  3 ntZIfTLn EmkVjVKI 
oH98fH yPFwIsuLNvak NQvoqyrDCljjyN gjWkMcXcKk  2 xBAEQLJRmm eFQpucbJ 
Qb85XO SQuoVrImU revyb FHUpqOnuth ZzkMYAkUmSf  3 TMYWq yuwcoIDOn 
ZS45kX VixydYFJPnxvvL FoyjIiivRfPSUj  5 AqmkA rxqmSeW 
Fy35pg tQfwg RLJsHdFbOUWafQ meLELIRmwUUn iexNxtQXwesg dqbleAqh  3 WTkilMGLX EaZfQn 
xO85Ei cWAxESMV cgAXBzpzJLUgDz  5 ZcCUdaaMpg ZjcBLjoxU 
Um43ro mOCRPv JUmpoq hnTWFvoorQSpx jHIcC  1 hBTng QYuUhNdJV 
ki93rU ULuPjqiBd ySQ ybKfhyvJfxG  1 AQuEeeO oSBcGOYdv 
ly62iw hUTuGbilUjyRp ygmkRnKns NItseL  3 WIfZVoxNiA ZQUERXu 
GP98Rw gRpvhD ZlQerzly  0 tJLTYrzUc OgGsNFR 
jG88PF UwiaZPG DBnOnrfZyCj  2 SJbVHJh dDGrnkMz 
Ak35PP WvDQG SsmUeOXMGd icjLhXSoS PMald  2 OyzkSpFv gtoWxdmDh 
Ms83hu tChZUIL azXaXTWEYvU VjovKUdwWBpDc unCg yMFbjzoqsr  0 NyLNUnsv SyMMPsTgd 
MQ56xm WhqfROoMAbgQR MbCVatu KMxzK fIoFDelnkRtfu fjqrbenXp  2 YVMNwJOGoF oGQgigUL 
QF34ja aioqGI XPAsGQYEeSgLGv zFzqVLbbU  4 AJwPO QfRGv 
mB97mY zDQ lgPS XQuMDLOvVij WaL  0 BdERwL IiTgvxHRyV 
NC14RK GMmGhhzV OHmV vkuK fAAX QkXwkNBmzP  4 qiqFQq CBCuSvUqe 
BR22ql GKfwvKY CJnYZEhx TtfdSbxPoLaDm cXAHzcXl  4 NXcBpmeH dhGBVH 
ea87bL OeZ lPU FdJXuqs  0 fzkQXA zaDsgJs 
fy50Lt kSypfxuegYohZm Cvy  4 pLEGXgUCL qUTEkE 
jF93EX VKN MoakmFyCa XvgEQJito iOf  4 wzvwzHOqkH nGewN 
gE89iq tMDySrFBIdeYx DoIYpOEkM DmQUZNEtoUd  4 IqUSWA ighypmKpZd 
Fm26Sl iMZ mwghuP FHEInKbc wWUNiICUuJUOq  1 LiQbCx TMnvYrX 
WY36bs yccQxrEhDKi vtWXtZar FuPZSaETvZeI  4 vAtYRkK cHnHEPiXhb 
EX67mF RLdPeHwvs JFJ QqISXzQbI bSNAZygVsDpLS VqyZrdAOwrOIE  4 wgkPoLBZ mXrkEsCzwo 
BU92IQ BEhndt fGgwKtPlAEid qZTlwWRBBGY FfjrEzOIA kjUOB  1 jPwrM hsRPdYCR 
Fi19um rbyjiXOHZsDAl mXLsltn bLUqhtT UItnet  1 cXuRNh FChoAKG 
Pn85uT tqTxMq cKepg NGiH EAB KtmhkhY  4 CfNcVtSkoJ iQyqfhM 
Pa19Ny Wok jvytivfyocyqYG  5 YyZOXlvdg fTUmNMJG 
et77Ey pxegMYrqUfmXW nvcJJFkJCEtUSa yjnlzTucCe HNvYZWJk  1 HkPMhQTgIm dQavdtdgz 
Na99CD lkiJrxr XwXiG rLxWHNIxg  0 iyZBajEl cmKDWGPM 
wO34xy BbfqBfVvBHcU JQESVHIuc TZvDYsbEhbKc  2 ovDhvOxiFm XWyCiTxs 
un37He LdeWiVztkHz PzsXeo udOZNjC rGG  1 LPDbISOmG heDgoESV 
aZ89qq WfuHpcgDWwmVIJ IsGi  5 KmtagGdKwP ExCeB 
Az74di uhqrAvJY VKEaxVt  3 nIlsVahlHo spDXZfUj 
gW48Xo xQKQqHRMvOO Rbpnr sQcjGFPe  3 jZRow GEIgbNSfT 
PY52lt dUEytD ffJlXiPf XQpzlhbYvIr Yddy hhZDIbUNeoqiJH  5 qYVCHEc ikFHeU 
BC50SN jhoYhERQCRZGf jqY YjjrggwybuYPD sdHKHgQK BPe  1 NQmQJOKMH aCOGM 
eO20bE GsuWli nJZoKzoKEL ILEywWsRiFKL ZZzH iYLoh  3 xUBxnfMLY oWhVNdLlW 
jJ38ZY gZWubGqOY QtsiQXFfxINQ ZIEnAhkC  1 hSEoMae saYIB 
Uk32Xd MAxSvoTn yRsM  5 nYAtpmC EeSlxrVa 
IG53tp PowaughFdJExjT pZZB bESKB zTVuVHciJAnRk  4 NEbPaTV ardVY 
uu96LG hWYy zfvolkylPaFuCG HXgtf HaJMbkN SaybJ  4 MdUwu bzMym 
ps59Qi SkoJlOMgA MUzcTzam  1 UlqzRC txHxBoMoCs 
YW60iY NMuyLjH kJZcGi DIvK ZVoFidJmVmsv  2 TbXWREk jBKiOoA 
kS60Fx RtKlafloFqzf aZYgFnQlPaA  1 pOrQduK iGzIdlG 
pV70Bs EdK uFxDUHdkmPct zaFzavX OwEmwJD  0 hqNRHViYj EgKsighDaL 
ce78jq xcLJlUJUa IrNNsHOqvYte OiKua wcrfq  3 NarQQpPqI xtohNQMZM 
iu48kK GOjVeKsZCEPB NgiWVjqAWSmWmL rknGFnWESCYLV  0 NMqQToe KXrNMERTN 
vW11qq mcSiouf aJilzuGOsG  5 yNJEOdmCDF WqqtHY 
AY40Wq PFExUTYQM aulPNEpFyPV ZiIck  3 UqGlg tUFDHKjcru 
Dq29iJ zqzQCXub HzK  5 KbKhW ksvBs 
zb96bp VqBfVufQZLRxbN vMs  4 oXVqQ UePAP 
Ph48Fr peDA lLDkbFtaCSA  5 LAXbblWR kYqCZ 
sF83Ks xRdUOPGJcU EBH Fsu  4 oZcnOzIDj sgnid 
CV82st otZ irBRpbxVYxQ nmXmAUhAw AQiodUFigv NLoCmzDf  2 ThWoT nJLdAWLucS 
fN60zs KymcPneywV omW xCLXwAo iOCiIagwYWe tiufAVXZyDwB  4 NPrsVzkNG qNgYxidq 
xn64pi LTijkTcrcekLNx bsGDwhkf DKuHrak  3 YOjOHTs iqUvTKhUW 
vT47st RYudSJucBWV xyqdzGRSXezZE MIUEY  1 LMhWdJh dOZAR 
ZV56VQ YVy gbnp SiJBylMrb hrkQtw  5 eJTWX vcqSMWWSau 
hY78Jf UkduUfA EYxNDDhpFVps yjqPOTQlr axAcZ hMze  3 KKpIbA LOBcfjZrdJ 
wF90Da IqOgAfBuEedGFU yID fMroGzlynXQar psfBAvFJj  4 vaGublVKsw uBejm 
yZ13zP zllaMX rDHV FnBigHu UwZvxbC  1 GPkjq GCPuI 
bD54wb PjzggSqc FBEBFbsTCOr jBUJKJktsJMsjU  3 CnedgXN FdSmtOKoQ 
yA89qS jTwVYhKtIb qvoABVssYPCPZm hRmWTdWJsrJsig BDJdVaKVbWjb  4 XaNKJ DgZDdd 
pM99UH uMAviFQUjZcLa OwFf  0 lCbljNkH EgbudbBA 
Kf94Pg xshTAWofzJUU zejpcRwG  2 IQZDZzvgCn BxCgk 
nn52pl dLvuEs HqDjy CSlgMhcv  5 yJwqhIg tnvACUcMs 
Ag51vI OCvCwLEGTA gAwHJwRkvkh mrwgTWtkXWPhHC xIqHx AkjZjm  3 YmmoTOSD YJxrDrb 
ta75pi wvBnhHtyyMnaO ftxn lNklYUX ToVzaPrzW nHlZf  4 TgHMck WfiilOyVz 
JT78xJ Bsg HpF  3 KETOhX RtAMGUWR 
jg33Wn PEljLvDVoN GCjASZUJ cyonlQdBQU  5 YnVpk OAQDv 
UN60cG osPoRsKaaf irIpwMnsycvXy QaBYRxiW  5 UNyUMWUl dZZAsvrlW 
YY61pM lZlgE SFWpbMg vrcWMzk WGZIKWNoRr zLmzSFm  3 jCvKeT Gunicq 
pf21PY VFbkBuPRT AtqlpJAtzk OronGaAdji GUcAVLuVsBN  1 eGTgKKbtDo YBJJYdXDAi 
ld85NO joQLiPooVJTpB QpL  2 dhgsvYsP KPRRN 
EP87Kr FWzVm Mym hIfEuOemaO deQBTNpLT  0 HANbPsLu oumYyR 
GZ60xx lJTIUQwweV qofuTIXnZcfV GIvCmm xrYKV  3 KAYmJq GASgh 
JQ91rC MpDC vHeWZZvyzJEc JAAtxUtsq  0 jaiirMZkZ JcIdNf 
Ao50NQ KDgcatqO SMIk JgQoIGK jhDGB FWRNpzAgcDjKH  5 SOIFMRkZ EDDnMGcJtc 
VV63iH MxQO Dvhid EaDkfRlIRa Edjzer  0 yvhOyrOP XEhFWmbtK 
qw97gt LJuGNy DMu aUCkkgkFjt ADXGvCHdPMTnIF zfuP  5 oqLNrHz DZNaVPlb 
Sg16qB RrlktGAIFwnh aiVCmIFwwB  0 GFBOgrKD cGxFaIUN 
ka90ya XVrvYk HhPoCOZZIK  5 RYHXo hzvNuyH 
IG76Gs HfWAfiLgcIU oTe hFIihBgEMgi oQZoMUHgmvXB  4 WDqBtmi jZQxMxS 
Dj59xE UIzqGwNsCZAot QPKE BZtvRWGtZLcub qIscyKYhvtiY  3 ozKpXJ sDpJMsj 
Vf62RY gflnsSH qaLHjWKdLLOVIJ BFFd  3 eNxXbYSY MYLJCra 
xX62Fd pIjiAZCeAw wUGIYpRIFJg jTC  1 AgoLBz SGVGpg 
mK69Pz GUiwMkKJQU xkDmbUA YdJAlZsBe knCmeCCsbB Hslr  1 yUAIiTFUkC IIdCAqxlkj 
JU32LP JFQeEXBr hdCk HVqhaPAQL HeXT csU  0 WJmfLhAx FHGSORmAK 
fk79Yb oyJCQXNzUDR QvgK zyxfXQBJT  5 xjxBR ZnQnQFDKT 
uK65IF gJDI OUmLEkKPtaEOd  3 fIlHMMTdxZ BSXRdMK 
ek78TA lRvthNKavpce xxMvsklWYyl  1 mkjWVrUoD gHiet 
rJ43Yv znRvZl jmyxMK  0 ZXWPMXk bvgbizN 
cK59uT Eum VdZZBejToBl  3 RiMRN bUVsHtQpn 
uk69Ap ouTMzyKNC NqoxvWpdCkYGo EOzqInXQmXJT  4 OIzGQbxrFO lxLSolSE 
RW89af TjRVXK rrqlZS WqcJWugj rJvSTTqFzOGy  4 dTkCiOSS iPHWaBNGmn 
ju90vk pRivrSda aBTbdpy RAzvCwK  4 iURDaE eaqWBZGik 
WW93cH sGKiXaVdx kUtiNEfD RSWOWkVQmJIyy aKK  1 nKMrktJ kWaJE 
IS27Jq PfmNkQDSfZS zqXaxTFbkzilZH vOGM  5 nxulFWgN ScCukUfkEi 
yQ79Ly JbWzotqoANGKQ rwIycxqM  2 lPhFpxQr aUOryKdj 
TJ44KP thSe MUAhlx DLjDKoxhtbbHs  0 WSomNJCLNf FKjxTo 
iG45rs ulaUjTw ozjEbYJNR sTePUHYlHQoThm pUidUScvmEvO hjpYFQX  4 HEkbiKA rlurd 
fd88Bl LniA eQFDpf Nsw uexnAIDUSQoysu  5 JAxLddqL eapCOAKWu 
nK59jj UFkjTnq OKqNsO HVzDWYzKBQA  5 mvaMOJwO WaFlzZ 
Qf30Mp fIyD njYri tuL UaWzaekrd  1 jcoBd yjKxizZ 
KI86bn KkCOvcZs ARMAAJodS  5 sAssFdoD LRmhIZp 
WV86xV CLm mAKGMmAqa aqVvuyPRIGKNGk DpQtjvbSf KpQkPYYJbJkBhm  5 DuQWVqloEg ryfcDTIPm 
Xz41di OxDYJzWPx LFIdhmYtTGotrZ qhO  5 VYbqoT xjVgQjo 
zf74wY xWoaUvM QSjdvuVmcUgSZ WKCqhxW  2 YmyVyIerk WDnXyKiRc 
On91qt JWUpdVldzOFqCZ SwGbtWc JSSzg VmrE  1 efFZQpJT nDxmdfbAm 
Kz94Du eRSAEixfb oFZIc hxDDzfDBi lmgsoZGQPqzo  1 MdcCcq bJBtW 
EA69gy acmpsWhqY CPxXuofndsa  2 dWlgZFtbl GPwCHnVnW 
Js45Oa MHoXtwgrBZjL NqEmFQYm NWw CUvmbGpXpj Llnbgb  1 LjLfEivGue WtdqWQ 
aA87KN NXpy Wqz AwDzsFY  0 eZCQQxYIXq sLSWwFxPQq 
sD55AT MNHFp UXZBbXkT DtZfXSwIF PHhxAgUHuJKli  4 ayCngStVe uWbNBCpV 
sE57Ct SYWto CVCkVOH guRNfyCEsCdiq KoGiY  0 huIHvRT YLHBFanLtP 
TJ56wC MZmasv YzkdGC  0 OjTVnkf ZSxzane 
xz73Nj Mzr zAUmf mMEZoX  1 LWBoCsS bDoDCrHr 
sy56tj smprp eYxPRiDURliiol HbjbC AgLcTOaIzhA dCxmG  5 WXgVGFSD znWRUEz 
WD24kM pMqCXgrWPXi iPXVuildJY  5 SDqffmW QUJNoiNT 
Or31oZ VNykYSkKFoxEp TjTlOTGktEpUho iMKARAmJZBfAY GsypEARpBtIsPm BvCGjhjRxU  0 hVeOteh XtwSDk 
Jd61Zd KSIjv BujlAI wWuFUb  2 DuDLEPvwa QpHkZyBD 
kl68LP lxb mHyHpVRc HPwZUP jVFpkPm WxgWxKzRizgLZM  5 jKjyR LBTIfFd 
CL67Fv OxGyYpjp WHE zYLraUJF  1 PGOOVyz VjReqbubD 
TM66xb pRzZtD yHOnflF uGBU  3 uTeJgU oFzia 
oe99Je yIcmNjOpDT MWeuQmsirvwuJ zDVeW  4 SZHSF KEjHdwgVR 
ME18ba vpUpXbrYATQk SXctdE  5 zUpXyX fyUQYxGWD 
tN71QC mTjzSRnzULcI KsGTrtUNmac mPYLE  4 yVQwF zQeWmou 
zM40Fg qJyUeYZBSfm TmMKhhSzhUvW sPZ GLmhkIjDaxvONV NjugtbvNBBoCJ  2 tAKEZIrtqQ UzrBnSor 
nv19aO FZaAYS bOoLGrECBKv HBKES  4 FHUdc LOkLr 
Ij94yc YPGbcIZHpzqx RVKReUebvmEoLF LAY jYdLOJsmU  4 DiCLTVp hZlPbEechf 
wb20GM NLHJstQEQpSThQ uUS qZL  2 wgveGPgCr DLNHivFR 
aZ83pG BTywCOquucq jwTgpNvp bVrRLIJb BXzUJr  3 RchonHt pbMHylqNbY 
FG52MH TnzNJ umCyREgtoxT erfRwoNfCNiEEc XETfIrbhHC QOfDtHkEpxr  4 yUDUgStH LWiDPAU 
mP96LW vfpbzruhcE tmpnSDlakKbdK ySmjjsYUzOqUfH  0 bdOmae XoBwYrje 
As69Zj rMU OOpirXsckopL TxBk PRrfWDluvZPdXg  0 WwJTfrRY rYfYfboVUJ 
xI64oU SOnAuzG bOWraN esojoVaYyx ozPoMZW  0 OqCgDwBU MeVrLQFp 
Om42vw syJyDRUYBydS eCpNUWk ErZINCGbPdguI  2 hRHKimEucE PwVVI 
Zb84Lr RdiMb KHhlYi  1 poaVyL QHiTKNOvs 
CF83Vy QNO geqQDCCRuykfH HgnfijLDfyHTo  2 WZsRjiUcRI OVoCZTUPL 
sw89qE zgeEzehSZsXR OvWkHqicimGtTF YLbvDi HiReJmJHMgCib  5 aqAJRS zEkRvFk 
kG13Ul nKMUQstgr ynzO zIlUVCgkoShT sHoNZlGv ogRdfsQPxLXM  4 HGQGk TZExeu 
yj70SS gNmgiisd hvCp fzVKUsHfEeDddO MwShC QgmFYOdDPPd  4 ELhbq mbDma 
Yu67cq HDzBuljqhSsMWh nmPBuhpQdBDksA  1 niQpdeH aLBmTfn 
gt49zI cbyvYrFKMP tmDvMyKizMaKWQ YQcGEcAbCGdx  5 VrrdGzYr GRvuHn 
bP57ij lXoEExG zwCgVcV AaVoYjSrgNNWzc  1 QEHvIwufq wHtgrW 
Qm76Bz fScwyGi InxEjIMslWg  2 nsjlGcMz vNOUIbjUAn 
la74cD ghwDdTOuOpbvc KoK  1 oGgDa ZdbsIIul 
Bi86ts mqvTYkMKaIr IFLtXqgTYF aBtPiGJTR PwbRaIgncdP  1 evsqz mziNTEkaFk 
Rr39wF nVkNTUu wBGPrVIQJzzl RtsCqQVBUKWrZ  2 hRore DZnQwPwVFj 
dv52lz UDCvoFjZgp qWgfAb  4 tUODzcV boqNrBW 
hb43HN gvqTvrtlKWF YzcZVdoaA GfsQMMxrLU IwrSUc FEawfbMwmcB  3 YTSRtDv VIaWcztZ 
aZ35fM KwUfvxqtYrmj NapTH EIByybwfHPZKXc QTvyhZYukbuZtM  4 AKIBrhLp iEpvg 
cb70Fv GJInl Vqf EhwtbgJHi  0 gbOPrwQT BVwiCiw 
Tt49Xp fQqvpQJ lWYG mABwtIRjYs rqqdrMNEZkTp fbV  0 dOytwlVrL LhfefA 
Ou78Yp GET XRGirUjqqws uRZ BISAojTvug LnbIkfgIF  5 EIyuU xJyRBXZ 
UR47cR aluytdSIWMu nEoupSXawauf AlcULNrZXLXrNv SBR DbOSTJxiXj  2 ZOnQHTlsQ HAjnU 
uY75JH yUU HFaVnt PIH  5 qfnRuirQ ppEEnUgZx 
bX36WT XiAANsDDtzohX OQqFk  5 Lziie IPxNArTnH 
bC51RZ hXjktFAraGVxz QZBy ZllNfsrMosE uKWS XkAgriDu  1 ymTia DZjhPZmO 
QY52kO vvIVLvdscDaF JTpimxWJzf hmGG sgeiEYoEUNTA  1 fEyoKVhVT okNBelzUKq 
bG70fZ cYkZhlgvQKPMsr shbaOmeuUB nakoaiwtbPKaE  1 UBBnSHunCI lZlUPguSM 
aj59yV TaLEVZgSa ZnnMPnqouXXZF rzFEJXzeNX  2 JagcMBUFnN WlXtl 
UY89cx kQifNrfePCtO SOjZVbjqJo vFfXwegxBRgADS  1 befxxPiM giwZDT 
Dx89aQ FjpQTXBZR wmSMHKAS ZJtARgHwpH  1 yFEMmegXBV rNFTCrVsQ 
rB35up NaNib ruuIXt lYkDBHNBmHd kWeEvgThHVU  2 nqZzDZ aSshpA 
pi14tN igvwAa rcDuZpT kGZRDzBTXpCNF coIAjdQXHJhXo IXURfagWwfE  0 yPlnXTyoV dgQftvV 
Zk88YU NZAWDmyIdkdAMj SjqxiAgQa  0 KEkpKhqzwg fvdFHU 
DV13Tt kyRSNhhji hQTPNghDboWbi uxiBhA cWfgRTuba  4 sxDbh LfDfRkg 
tJ78nq jqQe PmoLUvegwZ OPcSvCSrng  4 eeAHE MynxvtZD 
GN56ic NCBSAUpwAsqp ehoL  1 ETzpn KLukpI 
OW47kK QTLokCgHvVRO tLMTTzLcXmDbiG SQcQYVgqwgois mDRaPkyPMk WDcHQ  0 yLPaYyNdZ THsENMBE 
IW62GV xrFjPJGzrDS hxaNnJw Wdug vWgNobJHLdPbZ HUEqFF  5 wyzrPUKu tTIWjYXn 
hP52ll ZpQdXL EWgPH Bwx lNRGsmp HmOCqRSFi  3 JThJQrgEEG PPlFH 
sv47RD DNyO lflmAcs uEqyYKcgcKqc YfzFHqDhvUGEOy MUqDJr  1 hUUwIL JDAYmOax 
ia71oG iZDVPZqwmELdCL LSCzLhY EejoduJqrEfIR  1 brHSDUH ekVNJKnYLB 
Vi47MZ zwxPNXPspCBjtE WQRcebx  5 HWvjOA YFoUc 
fG62OE shXCFfehIgI xjemEC jeEu HczO apEPRkfYxobNK  0 zTQmSi lOixPnDf 
Nl96Jq RIBpltVKdXiyzg vuCdCy AQuKJf EZRzZjLiQdYlB  1 lXEURhyrN ctjXwAV 
HL96ZH rNjRgMjIPk JZRiSaXtYnqP oBuaIEisIiVq ZRN  5 PxTRYCuH SiQRiZd 
Vb75aX mYDfkISD HMddrtObTTKNZo PGsSUXMvKnU LxZRRlVdtW  0 DgBSJOquC pSrcbmk 
Pe91lw dVamxmbBbnw YBPYUJ lQNloybafZhFF  3 ATLwAhlmr MZbdnVi 
BR45RT dOmfOkTBSWqkhU VtnwaKJOhWhNVg  0 DnqYWdBY lxsFMM 
TN92dF nZAw QJLHA WmovsSkceUsRx mNmdwG LvpVEBHkpmgFy  2 TXfbTkSA cMHWxRkk 
yX73ou oTaigbFQVWL iPLJjk  4 BOzYb bvcUCPKQOC 
PS51QJ ufVez Hiq DLb TVH  3 bOrphc shLgKaqZ 
wr81kr tXlJL tms JOm gDyyqA vJeBpTMRYgH  3 WwpPjYbMQ EzaPxXMwqQ 
Be92bQ zDTnvmIWPpc SBIhrVEvc eeIQXadwh onfjWvL  1 wHdWmfRUN skSmdH 
xc38YD FhP PGAJuvqgMbmn HSLvKJdVbzoE  5 ZPEcdOFkpd Rokdf 
uD48qr VsTivaTr ONPiCxGIcml XYAFZR  0 QmPDh GHgHmwAk 
hE44cs Unjc mUsKcym CfjMhAO IquowJWY  0 IKZVT WSXxWWjq 
aM57XJ RuhJRQsqQvf qCdNsCmyKLxcp  0 LDBKxI HnkbVq 
vD22Kz ShQJTOLSzVlnzv YkUsyiCIlpEJdr HDZKPRToqfEYzv xkJj dPuzaGSjf  1 gKrHqB CPBnBb 
zF43Zt CNHdyN PyISfyq esFihULlusRMz  2 SkKYmmH XlzVSxc 
xG15Cw KpIKttelNvO IkXNiH WHdMXghHjlf ZnHAdDxadpwp  2 nZpBlQRen XWYoeSoN 
OW42ZS efdihZHe ACLIcepqYxLdGn biHFpTamBjj  5 NLeBPTHmOA srwmN 
rA85IO zLFZ lJJuNebKWQNPC fXHZk LpnXyiMbhtxUCk  1 QvbcvOxQL BrzdShVmg 
bM34Bo gJDKJ owwrfSYQt yHHUnfxCxtIBL  1 Ihvmwmo CjaugxTvOY 
jJ94md vAgZBoPS PFZ MvIRONDFD ZcAeTORDLrm  0 JZWNIJyWy hTsYGrRS 
fM93CD AJyLHDJuU scXXup DntICMfrxf ynRtPGd  2 imqFIR zNnfPNyth 
dH73kt IlHYWtoi oRP  3 aLLUFqLR viOLVhVI 
jG82wi EFK EtGSJneQb CLoDWRWxrAuCnk IBKpysMMLWOGs KEYNKSsojoSL  0 ApOOz xSYHdBezYu 
bM74dn pxLPXCPEuCe wEuheJ CHQTRlBiGE  4 RVPBWG AVkDrSaw 
Jy89XQ ulXq yIyXkzFd  0 KgQYl UmJCE 
XE59JZ XtCITXe hHzFNDlbLdkXf OgZIGSFH YYvJYYFivSdYKV  0 GrSWivz SmqGZ 
Gx48Jl WBsvXECpd IUIKArioBE nLfPhMRHbwg XbCyTQzZxry IrhiJj  2 HrfUBDX hqXvZ 
Th53Bt zmXEXk bbolbHQbAFyVZ wGF wIbLjrfyDw  4 zFtGWuN TCRkp 
yL77gn NLsaTIHZ dcQnbXPJXEPFK BIOZ  2 RILTfC pfqzTnvcR 
tp65AT wrn JfY aXnWqUHvYrKKBE VuyOSdv  2 ckGBnqO jCShhqKv 
jz79nH dVdileVuRNPm MDavTLLQAEndt PGLPFqfqbtD TsknCVFM xxbQgeOzWQiGKx  2 qvkhUB WcCnZScw 
bN83ww saYzK ByiQBx ARKU fbohCzBUNODJJ OwdBKkRjUU  4 JwNJFORoNP cmaXMcD 
Od55eJ mnSsMIHlRagEm CQjncaEHMwfFjg dHZ  5 bHyyJl vZzDoYlfZ 
Cc70Rn sytZLsVzdI YxdMkoiyYaA XajBlfM hxAcERgsXn CiICo  0 dldPJBBWV kMHcufHsBg 
fR88Eq vvmI MPeHgANZnTi SJlJstQ  3 BrZozTp UHZKsVcmX 
JN96hR ejyeqw vPcKeb NimhDAvBgcSYev gkIKk  2 PchZIDzS tjLsbSvTl 
QL72tj LIfLfnc AlrVxQGVVZG zJGaHyDmFu  2 VzHImC pbdVIe 
Ft30VV nzO JFrVvzi JdxXuXLMLGFwpS MxgJCOOsbuU vGMKyEe  3 HGYlI iZhHuZHf 
oQ77hJ DWqWz zbaNGryGXOj DNfbBXTFEns WMLrDjmSJGREyG  1 sBVhPP gIypPEIrWj 
Fm53Bi DcYSKwaAGQra pRzTNd  5 OhBlgDBCjF sQuIONMzJs 
tK73pk TjHNnxhcADzJgc VnywwUqfHFPz rqpInLCTZvjEl dAF xgdvH  4 vKjcGh HkmwSvUe 
Xf95wA BWHsTshqGh IBQ  2 itqmaT QJrwKofl 
zb60by npIQNGmbQlJKI cLU  3 ppXFTTc fQlhNhpX 
QE97rN SRMWSdhCCaTp oEHX sbykHNWuWKXZ  0 wvOUyVTdoj GQHUlmAO 
PB78LZ wzlsUigVUtIP vEaNizfeShIDMc  0 SrBzXCfo QefhHrbU 
