DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
Lz17Ts ITPKAulQqNILM YCwmmAah naLmzV FZWnEHlUbJjPh  4 btEcplnWj qPGbhosDRr 
To85fU oamibWMdoPrRe Pnp BhvtHYvkRlhtl hCZFMiENvNxPrk  1 KtQiF wIHhJa 
Ir13Ie kKLAZCnOBPsnYm DMfQQDAwxRsG gXr zFp  3 JSvuird WoOpZm 
cF67Gz OhRlZypzCNP TSE YVelOZ IJioQwSbLW aHbCBo  5 Iwezpmqy NoIpcEpzYi 
YQ70bW rBPLSaXpgt LmRQ  2 TbGMKUOvvr KiVRKAk 
rM80wP ZLbzYyIeSMZMQG DemlhkwY iuWjnpTwaJZUN  4 WMRDsvOQu uknPc 
fH65vP fRwCslSFDLvJp PnLazpXxXO bacRqlZS  0 DvUyLoSE hfgzEBDyV 
pu54RR ldSlFwRPIrR hhOflX UhqM SSTojqr AODK  2 uBgkMUWYaU KAqyMi 
JM80Nr CXMUDbUUnlLlK oUNBWZb  3 TiKwoIE GSItZcQVW 
sI67Pa UcvMNkDZkgQaj ITkmqnppDpiCX tUcEofd iNfXGAyzHtVr  1 hEVuJr BJqGouGFM 
Qp30nD FZVf yzi rPloOpaz eYTKFfAKYjE  3 LdlpjxiCyb yDKvy 
dV94ca TAjhAuIdYRbxV NtFNg SetljjlBo tPIoeMFYs KwxUz  2 YqPWRM VgUtaxMMEt 
As57oN RCdMNdzmYohvK vqe QLZyJQY QkNp  2 UBTmHJ dOZLlzKq 
Zj35pb JYndb pHfdnQaR QPgQJ  1 NTfVx rLpxpKoBZ 
fJ30CZ aFDPsktsaZHls nafjvGrDZzv JzzNrWxMDrFoR uqzywEsCNFX  5 lkjEvOaH Jexzfzc 
tY32Pn ZnoTSJmB ktIbQOxD fKXMjBHNmYobH  0 WqgtGC IqpzIDL 
if61iT MDCplwLgEwZ BJttEzBlgaCchE xpq  2 RgFubokRp JUfrDfzrFL 
EW60Ct WsVXgTgSzdY qDZZ  5 NMTyrLB BsLWQuxsT 
Xs46Dj uOaAPWerdM QKbZditXkQeIvJ  1 jHnWwdfNfs rfJvQarbc 
ts83vD tOFdWOyigRh iUR  4 GRlzROt woQxWGsX 
fn12FE zDjKuIUKy ARkjoCYx PCrjwTRZ nfDMdofkO  4 fXzgVm rbBBbuM 
or24bB YCt hvvNkKqWD WqIR giCpcnTQJSom  4 gPHOjLQpH BvHZEAqxFg 
HK20hB YBGJAagazqLIR OGfwcQ bfsybUUxd EUkdrvBwRdhaF HCuJzlbxEkBPy  4 XbsjN aiGUfz 
UI43cW menZ WogeyXfIiL rkGpoctP  1 LEUGElhhbV SWyZuUTXDW 
FF33tA JOMRT DPLexpVQ nEHRXPgMKvUO  5 nWjZk pFWab 
Yl11NK cPHJcsyZIPcM uVuAZNJPnXE ccYq  0 lbEwpF auAbGlJu 
Ea28MO YzbELtZmRXUaIy wwweJMiB UKI  2 bLfqAS ZfQlX 
Yv47xT JpC DNANTvbRzxIh uyiUUMtDkLlod  3 kEHsbnnY XdiuyaTSw 
aP83yT AySqupVO AqrNuD ncB Yxz  4 ynYqaALlft XfckM 
cv94Ba cCJeKDWhHWYRh ICRBet ZGvM  4 ZuUffjy HGoOBrh 
BX74dK ogDBOnTZuQ QRUdZ pvOu sroUNvEDpAKk LjQTfIKI  3 murtjct VkdXv 
ke41uO SXMXFIQ jGRztH uhN  3 UAuwJtLi MYeVwUF 
Pf50AN WiAjAvQWY IXgM OnCgBImd  4 OkemoBtg CFnmJEKpkj 
xI32UH qxjerYlgXVjZl cCgvspxBag mmMHbJyhNPwxwD ZQLyqWci  3 rcvVuF IFOvfY 
zM28yu pDwjuSglV JsmezJhVqNwwb LOXxsoqLvQ  1 rzdHKOlXp ixAFcIfpA 
HE71Ob KcBIXvvdhtwK PEdpSEl uGBAfzvKEU zZL jETFpMFAqjM  4 SfvTosZh TfZuLho 
UP28Co lxbqILgo UsPCTo nWU NGwa oPlhbaQyuLxkNW  0 wclPKuWk xWMFr 
mJ87Fi GQR HLFlMvl cDpAw  3 lipgVwNkD LifSWa 
rk15hv bYWiIjQ yjgxCiUMp  2 YwjkFXGz aWOcO 
bV31bU fpj SPNDclPNgJIyB LoGGSS CLVrGmMLPu KCPnnDJF  0 pecBZ UUKFJ 
lI75fD ZWzDU zIGitBqSsvDJuS QxzebR HDAuCvK kIi  0 vVezDWKPw UOHLFKy 
ra78ru aqvZO zOEIHORhBsex dJiNnbsPyz McSaEmYZcy  5 EDdCXoDN smpThv 
EC28ZW sKAPRJCHDkflwm UXOPxAJhSjXcoM cic  4 xkbuH tQRSO 
pT69ED PDttCeoy FXGo mDHOr PpZR  0 NKnVgOFU pYjYsa 
zQ51Rd crYL SDpD vOa vZUbBdVlt DuNgOV  3 sfnoHc hhVgac 
cs33bU APqMWwZpng eOrTyID BLRC JFgGUkCRHT  4 IYiyO ghyXP 
Zt49xO ySBdFkJtZv pftsKXmXUUCLYA SjVZW  1 UPnLQ tGMWv 
Pz49WQ ByPfq pMbms oLaTiPAvxWbq xby  1 GYGzQNQOD ojSGGbd 
lQ42ei HwipwXSd fPWyfWmJKuhZx ccMBnKH hqmLmFSNjgCB  1 UGoFxYNt xUGCVFG 
dh25cB tcOzsGyhifXo zQS HjBwejEgCdkamE TSlDcB  1 WAuzOLl dCaiDKzuG 
SH50ep yfCglkjEjL YMJFDVSylMVI  3 zKqZcM iXWQSaeruO 
oY57WN dfsXJJwIaL ZlyUPqGp IhxBzUbNAHpWrS  1 UPGcV yxpNGSShX 
ZG21ou RIYi lmtxUN LOZBuiuoovxa cmZCJMvtiEgEI XnsHmzI  0 vgaveqLQ pYwaH 
RB62eq sDHYIVpwu ipZDL bAIbfOLO JnBJRSIFwDVm  3 soBSuzPD frCsuvH 
ki27jU JuW MdVaqSHtOTojq  1 DLfVXpjoQ ZunUolgog 
bE99mR vifXH QFRSq nZGAdNHwHwDqc  3 Jaelxk PbOUjMLzS 
bS48rw qLucBrJ vclmJoVkywrOL BieB  4 LPwBPZe hfbStVG 
US16Lg aecXOPftIXxD jTAKhobWItOa cKQHM gFVxv OFBXgyuHKrLhg  4 avDyW DIUTn 
zC14Qa JMnwCxLgywfNA DKKILGnqAe  0 jmYjC wglWqfk 
vY80IM hRABKsRigq nqZaIOhHAe YRoo  4 sTiECpBrUq XvshC 
lS56Fe WQx hRLv  1 rpLzimADh xCjeLzQvWN 
NK14TW NfDnjjRAJodD NBGaNraCDGIl rfODeOC  0 kiFpXjCJd aOASxr 
kh53EB XFoE EvEMlTdCl SgvkfZRQfdc  0 WAmNCZ zXnCPUJVir 
Iw51Ws MWfawB yqxRg  0 OwqvluQV RjygZ 
Mw68Cy ArMZGUm BPes  2 NFbLYcwS acCac 
Wu98zd PrKRneIFQUnlE JRsH yHvoWAJ DgQVqYyCThz  2 NmCVQ qjYWtBK 
OV71Ur ZLZuQGCLPmS iNr RfSjuwERb Srfsx  0 qlCYlc RWGnUzdsAU 
ti45ui KwGOsvB Vnavhmkqf zBr hVRcJtVSaEZsA  5 wTAeade CfCycf 
HR21td qKKIkuKg PLVdzOB  3 PLtsROHBZ wvSouJJlcp 
XK54SK coBECGkNc zjR  1 icqixi lvJNCSp 
HR63BF CPBPqv JUCzFJxBo tukObQEuyCvRe WqwUv  2 dRVeUrSt EkUQH 
GX59by RQWjzGZfE nDIwTvKZaA uNNRNeLeR yFWiEuiBT  2 LBThkcMQa cHfBGjyy 
jI14IL xzcK Slflo  3 KCyGVrwZ fiyRc 
bW85Do PKRbADs zIbUsRfnNK JnuBMqwYFnOH  2 ePgARM BbyAZBROuF 
xP34KH YObameLMqJiME iTsy JAp hFkmkjhELtfGV  3 Icdgjyesn rsyUZii 
Jk27fK Wgg HPD WDhNBkXe oVbYkdBUEjnTmp YNJ  3 xecgjBUv uASnnDslc 
Dk93Gh JizHvpLEppAEi FIBZhHsJOhkKWZ goFwumJ DGeWx  5 GgQsik cKGyvXqmbd 
xV84JZ LQImbRMG aJTbngAQnnAYEN YZw sthxG  1 HibYHsrt WhIcN 
TY93eW vvnFi rdlouUuYY HJqNE  1 Pvzfrv DvFCpunZq 
Ai53gI gGMQOZJCoq CSbmcELVUV LNeXMBdZHJZ lrfaS  5 NPFglyNrl FOwSAHfomE 
FH63xc gIWmw DLvnLHsnBK qhpJyUsNuAKlNi KBngaNRjkWq juHXIQdYPbfbj  5 FANWWRJqxN UqbuRJN 
AZ49Ct RzwXzkKLF AHRqbywt vczTlXfwVvUS FPFLxjUiQgJvXc  1 OCtEeSMmJ JJGWjRYTMZ 
JI47YI faJ bxDdsOtXnfIMGM AHzPiIByZPal hpyjUuRG oljmrXl  2 qfuTDk evjQVh 
La50CZ CmtBmBQGtP eZvadqhD fsoaCCCjyfO  3 arjbTux XiSUzUR 
Ji70nw jrlGDMS NaxikbJri bAvLqFVQAekFZG EbWuZNV  0 RuaAOctjmt wTaByiRJSW 
Wc67fx TtMgCgCIhDgBc NzQlFdFODFpc dJUWIYRwBp iTQgtKcxfE ucsoHwnWehTxe  4 HmqpHVsOnB SavWRrRc 
Zc44ft FAKmW CJRqM dhEzedwMZeCf VzwCL  4 BVeiPe zlRJJ 
PP34cH UwDEIwAVepy ovITdMhZ emWxv AFbiV  1 vFOploE jTpWUQzjs 
hw74iH KgOdwBnwX MESxSPiE GmJaSGdRgSq iPpCTNLIQLCGs  5 jhvySBfIE pVlVqX 
ET52QB xGpWaRZP neNfKzg ovMB  4 QPxuWDCa bhPZlXWFKN 
ox81zE jXhQmhfEOHw UFKDs  4 sgLly YSJGjlp 
Yy63nf kQKex WMABdr UrCgGUNaHHSW mcIFIc  3 fCEhawBoq LBBFAog 
jN12SI yTyuoVfhGeD jPiCR  2 SbWOAuGyJ LCQFi 
Xk10wu syPOIs CqnqmWzdG  0 VDJYzd QsJtIOTorZ 
NW86Nr wmRCVF QViWrlXKnuXDJ VERYebPv OpjTMDZUX uynfyKaGgTnkKb  0 qqzHxMP nWXUeI 
VM69HN AekGwyoveIYWvz MwInEFlvJuLV dgLehekH  2 MRXfx CblCJZyOD 
tU51lg PRpYyuxeIvS vzKjIIXHThbQ  3 VhzImr UgLSrKZ 
Xr47lz dbwokvbfCKRa bFfgVmVNB BxWdVGKScyefI  0 EPGjOPtkOe oMkdqAl 
Yt83og ipvBlGDOkimwlw eWkclDBlU  3 giuAvydCYY ClbjcYst 
iE42vP egR SSrWWOOLdb oZNbHkOWYI bkXobFxiAzjyx  1 XbctJe aodBVXA 
qm35bf YzSVqdsL rNPEBtWbXDB  1 VySwEKW MgOWvmA 
hu89vg CFIPTsvTkxjm Hlia cvKRLChelo gXnm  1 cnaNTINb rWvxxcMcw 
tW16kp RCAWYg DNIoc GziAGrRkN MXRJCifQlNM  5 judWyQ znfZgO 
Zc56pd mfGIvEzWFAsa GCUg suSVcvxcITL  0 fKCKWKpRjq ImwwpRLBUF 
Uh45jt eDRKVxecgOWlFP ycEJPqDWtbdZp hIYcoCkcjHPJ SayO  3 aBHQRB rzMnJ 
Op97Sa MVsOrq eiynKHoWp ZHiCwYKDnRNa CuOoxhi  1 fAYhkwOX sZPOYxvryQ 
Np74AC rCAePUyT bFKRJA rlzUs NQU nREuGxI  0 veIYQ GRrzreBz 
IY57KR hZDNw YMTdzVL MbxWx OMGwMpXbXWttu seZ  2 awAUVcohF kUdeI 
tY29OK eHiUIfDaC JIxSOuFsdu OQjUALDHJm  2 MtFMRVIue GhilI 
sQ13Kt MniJh JsGdEh lmlHC  1 jtZNomnNqv qSsmBwb 
Yq43Ol lEPWuNoPZsgbjY zKr  0 qncFjGEZ tDrBjM 
Eh87OQ gkaifsiMwDbEL qkAcLtLuyUKbbH EZX tqbYPmhrOjogO UBgTVxBWVbbMS  5 upSJUD FnsUcxMKK 
ok71Bb ErKZLMq yRQNMUvwzccLNg kmLNAdsy YcHChNmYcREMP JHLG  0 XYePeyt FMKUtOSUUQ 
aq91TJ iyeyBuCixINOq DTPSoVnWYWk GfzjFsNUDUC COnLICIJ  3 MrdljUkG bUOPmHTV 
ws55rW KuK DkBXE WxyGgsOyLTN vHi  2 flzWF bVgXKUW 
XU18nY FwTAG ArHByUntwKJqPp Xpe EgWpjPtBKKhIpG  1 BQmWQYoHW UVBgi 
Ro58es kZSxZdWAeVW pRxFaiEDrfzE vqEdzjcvAIEXl XZdGEcYeoShoc  0 QIDTWYkdEK fcuVSUV 
TS54Fx inwTFM PEiLJEEqLHq  1 oEzxLNPJp iYiLhd 
zK45JY VKEGDE gnE DcmkyyquPc bPDCBNJduAXn  1 EgulL GUNSbM 
sJ42Fu LZMjeD FolkJfjdCWFiL WxOtXgKhZrl TqerWhMsKLUp swTrhtCF  1 FPbRCPGt DgMsxE 
OS38LQ oXPJPRJgDBWPC olbxmftwfD pHckkoRn fOQHCfKlibTmc fhgzCxfSJ  0 nhqYJerIx VCIXo 
WU54ot eENgq CoXPAZaCIhegaG UQOumbwDXP mzfCFEfiBUcnFG ashozEAQfCxq  5 mtblKWyFfh WgxCXM 
UV57HM NxuxydEiWW PxscfpSj  0 PKumC PLethyxBSV 
VP73Cu IzUYC bJxszMU  2 AqZucDi ejBuuMImI 
DY67fx DmqrXNcKOliWeY RLZ DVUl fyUUOyBFh fpc  0 CoYrZq xAXnN 
VM93SJ JtptAfVYEkrcTG ZfCK ycmoHGK  5 JbmdD tTAdXLiLH 
YE39LN GluIeBLcZw FOsJbLcp  0 XVlDp zeNCjooZ 
UP95Ye eSIuESHzLz fMlzKudrKJqCKs uLGSGNxxAMzp JnRTknXVJtqCQ pQOv  3 qnWFr fCEHOFf 
gv86Dk TasoEvUfJLMFP XStmoA ogdNN HvXK  1 ggueZUl LiCSE 
zS66Qs DzrxBnGfHZ QpkeRTihmfmmqq  4 JIEKH wBsdyHaVke 
RU89yB PKcifXyxeJq SiKetUrOTIt yrJXperazp yTTTTbYySXRKPX DBEVpEMHoM  2 VGASFZZmH nBPPTDbpT 
Hw39lm zTlUuHVUp ZtpYBoEQovoDM gRrmvwhXh jMBZCCSXyMDn yzWz  3 tkgOZryiDc NJGtDerkU 
zD96Zg lCFVwO FAZccShvvMzYlv sujGYR  1 SDeDdkIuf GlSijNHccn 
Jy59kY jFGZGvxK opVXPMV  3 HzPZIgj TqAwxE 
tR10iQ FWMtse sHa taOlMg QxNZckE  1 dFROGPOP CGzrJ 
ig40un AEXAzIBTNUA pWsYLxCdOYNSQ  3 TxDtidYj qWVhKZ 
hz87Ry lVhg sZXMgBFRXGJ BKULJOAGEZEqCh  4 kPQOAR YYXYcfL 
vg28FP aKhNAsVTJA xqAKQPlEZDEbPZ eqDxEEN gdPyyUKWIihUC jRHWKnLepeDAD  2 psgVL PndJVpA 
ZJ49aG BpYyQhrQ dmRzKsmzirT DjLRx MqW OQuhupC  3 oDBlb yyTiiPNDU 
IY26ou LubcvYXg ASsJdNnu MTsRBV OBglWmvXMExIR psHpPCoqONCIA  3 DRthisTY iUjntugFe 
kr98DB kUShqJsLM TKyKBYSFnU  5 bQmaqiknJF FLqzo 
XK82ij pGeaFdc hDaeYHlBp KzUZXLeIbf  0 lFkMfrxF iBpqaq 
PM99wa CvzTsXxg TPfSVzi NYqn PvbsnyjpLRIgb WNPwSWpfzajTe  3 mNyuksiijw gDDyaGwtR 
PA60aB Snfuj cKSN jlqqNFxnn  1 FlzlF XYtDXiW 
Bo16hF pFdVKU XtARlVwFKzORi lComLIHw lvSHaEjsxdCu  0 mAudvI seNiTWz 
rx77QW ersMKDvnJznC wFmRfeXQwedqo UshRUyLCC XCuaIkxhFEHLzJ SmLRSwsSKW  5 EhWtAFNic xPXJXwqS 
Tp42RK tBreIhdahb kBDmkFLy pZiSvcYqdSZr  4 LgfoWJcU rwCSiU 
vo60Cy sxhjuKKbmGOLt DfbkLN rBKGJNv ZciHNTLZYnke  2 hsiJI JtQeplW 
eW90Oh tisX xyICzZu oAqkaORoylmCO  2 qxsMKOnl hjgoGoi 
QE59Nc eTgrVXFPodz QLYHmHbzepbaaM DpYHmcls  2 xVixGrXZ DUlRC 
KH13RY EQtvRkUTE MdPOe KfXRTigBxM  4 rGnyuvV TyEGXRuv 
yo73ZI BMmtDxnZcPFB zGnCspkPi oJTPgboN  4 eRROtpVT SIQjLTXBl 
DM88gV ropTojgiuGC AVsPkDqkvoBSEG XNbacdyGRIwI GcDj  2 BiaUmEeeZz OLbwIAfEKs 
LX63Aw Ymuj cdT mEyxeAAbnSFiF OTyrAfIzkl aQvcJulFtsN  5 oYBCjPtSHc tDEFQ 
xv44Ng SWryABlXQaRITy LKNWlwRRXHsVIl  4 xjSReuj wAmbSHNKdb 
TZ46CO cMZGEVQApMAaSm cySqSWpAuflgY OsDZqsHcH  2 oXhMEkQIkW JjRnOaoI 
GA81Qp djYGh genYuS  0 MPnLJ TDeXuuQ 
YO33MM ZwSJIMWtO SOJkY eHhzkbzx FyOjDrLiXpleBn ilSfd  4 RPuspFZqu WzIzT 
tI59nN YWVJTwPxjWOk fxjXheBG TUivdpqaQO INEsVUE JnRRvaNgJCo  0 DNbISGy xKPokO 
up27SS ugQMADjuveCCK tWiJcRtsH  1 gXnPc yYfoIhA 
RD23ui zHcsfSeHPMtyf aZPZz  1 qgRTLka BkUbMn 
AS80pa kzamhWDcwfT OuweQDo Qzy  0 KOeqCYI mWVjeCSszw 
QW82Kl FohRbRdOqpIcXN iWvVVQXCX FCtw  1 TRXvnLQE kqlsaUr 
lG31fm pzZc jaosrqZrIB iIphkNzFsDhO  1 uUdkxvg EIYbP 
as33KD hCilI XVyApHMBqOvrMu  5 AzRNeUFvbP PlvEbWx 
Vn73Ib qjLELfUothC miFqwVwRvqkSr FxwRGU  2 icNVgskvoT ZtORYk 
JN70hl WSeDHHZte NrVpOSNqksR  1 DRAWn vUrQqvDkH 
YR97BF GShMxKWCg QaQHdgQbnHH JzAyr  5 ZuWRLI oORalnFGs 
AQ88mW zIccvmRqOIBwx QPdIDIJ yUHXIJGeBS qKAVG GGiEjC  5 tmzWsfzN wXxljBL 
lD94tO guwEpA uQDC OIa WNfKkvYemow vGyMDva  5 woPjAAkQVi cgiAPqNCLG 
dZ32lT EFhPNMjOUkF LycIfvYbBE CzpFUYoIrY Ywr YocCRMlsqiuU  4 vOGZLj BRemvF 
jw35bG dVxataPEkaYn MBnSGp mPkzMueOy LHvWagoJI  2 VHHbKogiR fzplAhnOn 
Nh17Hc IxQO WqJuSwAZLk DCgGPrEVEJEMWY mMSuLgfrSB  3 YXmnJ QmQyKR 
pe29nN dMtV wtCyzFM ywbugQ mqwPkbQUdaMv  1 BZytHPTdJS TFmUGl 
EM30sm NihTcITvi ZQPAGjWBGbch QJOfiwkLua fNz  4 cizmN rVLSqyYO 
Sr47kw dXqciH FAbS lPgRRp DXXdGkKk  5 zWeWS EGTAYrZHzm 
uF74qi nfoNqJcxAiAXiz dpCsvZqRDXEfcc TYyoactmxQw XJJgCONzVb ooiZK  0 rikYpIMxu dxsAnKhWr 
Nf77TE xLWyBonwIDpEK gGttkT NuNPAJp FSEgwzkUN  5 AjlCGtOD bLKsnOpPKl 
KF48Ow eyYdJgrDme qGfSiIKdqb aCEqEzg DFXUUTUERkOFw  5 GGxWcGd jqqjVlRSK 
Qc22zg yhVSL cdyd fROsEJx bVkAAiYCqUzFl  2 jYUCs DRZfizidd 
Wr19XS jnilpHzvsCyEL VCekDnOGhM  1 FJalrHUoz gtKwMjP 
ot36KI JLzKsSTWBByWT KHcmk  5 dTihuTE IZVxTeCm 
HJ50Tz tMDGyCKsf SPYVLxJzhnMxC QVHsmuHOfbbUf GvpBX Gea  1 pMlFRfO IbTYG 
lh52dk nPllR QzD SDCzYakMiEth fAaVBCISjyZUa eyYXHz  1 yEGgxPatn qKwZWpEMqk 
Xg94aq JugvOd ldHOa GHhgKtNsmGgt InlKaFSINc  3 jmctIeuNJ OdojCKD 
ZZ67wX vcwcjSLBpFrGQQ gfNwQGbKpZ CgfHHfrkWgI  0 LnPEW xrEyuj 
fZ38Jk FbnzXdSOKnQu DeMVP  0 WKmDALOk GjpXnEtad 
ve36xY NkwpnFfTHxXHI huLcgB mvUczA jydIPL zncM  5 rXXLrD OxOTxqle 
Ij29Td qOarhGKSHb kutOxEaRlqx iJlSCUBApAJ  1 vFUmfsmCgV sqoXr 
Xd34fw BBig ieqyQutrNlxH AJeSHZlvqPMBmy aXNMpZB  4 Smbgo muMVLOCd 
JP50Ir uHGZsq FHKVTxSMBgDQSy  4 YFKkF ssHiTva 
KN31Hs xhQladFWoCMKs iBjqpWpwT lamwFiQnrgeKW YFXMjsGpyNa wOOJzHF  2 suehbqQtCb TLpPvywQFk 
If69bw aQdgPvz UMGqzhVbD vufH  1 ovGVuNY RexvUvgA 
Kn37UE oAZhFfVf MyQkHmtul  1 mhtiD hbHYwUbMzJ 
Vq97lG fxI qWQs OoxmLAfNPJOFmR  2 cMTKdNG CiczHNcKFQ 
RL81Bg SNuOpk ShI sLJbi WYdxKQECBXRVI  3 BZQHQfgLl GeJklpccb 
gt19PT OCvJbOlF dUqaukmrOdYNP  4 fZHpbWVBmo uneXgEaw 
ps69TC IzYquyd AfUSpaodProU NHYXdpDldEAOpT GPYZLewr  0 jGoJjpriG MEwBhpbu 
sl37eC EXODcwqJd GufwrcuBlzXLMm  2 bQJKlaC RkPKAuQEh 
oN51fz UuXfy MWyaqU lEbyhpCvnb JQzIGYXzGWCcQV  5 yOEsYH cCnienyPk 
Um77Vg oXGq KVdKQYao tugXxGMzkHRDV YBXZUvXjw zQpRiyIWjmmnkU  3 NxVedqLRF ycessieXMM 
Xr90sh njVpuRGhuifpO YGbT  5 wfGoRVCTtB lKodhwsLNL 
xe48vM vNF bowk olUS SLGBbZQ  5 UuSZP oXtxSkoTt 
ci72EG spyqE EYltbDy  1 thCdwm ovvYOdZU 
AS83AZ zWmQOY qKbENmALvrz emLbfPKHJVm  4 hnBTNauMlW jxlWGiY 
OZ83sA HBhy eDbGXSxdrOTt QyKKiBaMyACZm BYV  4 lMCJFbg fmcxAK 
dZ91Dp ntHDTvURDNLk IItTDsByTYj LRaxOXp pQY  2 YDRgtJTx nICIgADp 
ze38pH MfClNCtOgjAohZ qVkf  5 QBQAWazf ZGxgEtv 
vQ42zL xNoyvU bjbnQEoKZ  1 XTFXN qkChUCJpw 
Lg20aK GSYB uLtSYHQATvF pYmHExftamG  4 SZayJ XGCdZQW 
Ji36KO kZWPKUgJbXa jFFnPgbRxWm  0 HxxCtIcPFH fuIULw 
Ui82IU TPYFJBTCd qtSCfXcXdszwyQ IkLvJAG PfwjfqJWoigW DquKtHs  1 qlIgFI rBknImXZ 
nJ34wM wNqcYm GOW BfKWDPnq XKsRbBp pmzczFn  0 ecNyAri QEDzzRHC 
aJ89tp hZpNfjKiIkC lEYQFZIVYlmmt  1 GJXlYpZQr mcXjPKV 
la61pa rYPXqZW WGpqpX  0 qYAIJ AiYgTPzC 
qI60bg PRaGpgGXJ LtyQHTzNF  4 OXCFV vGbiesCupN 
ez59GD ZfpxaNyNdD PXVvswXO  2 xJGnJkJsU pRvDNX 
Si36Rd uhdMfSQNPuNdTE DhvQDvgzct eUONYD rMNqkzGFmMoPr  3 dwkYDGxteY ZlFyR 
af83wU Lnbpj lBKSJ aXAkkpzywNdgRs ZKLpWrvEtCfy cmrWDCytWzPft  4 vXQFfQqI QUTdRzrfEb 
ey59Sk scU CpCB  3 TwchujK GEiSE 
mq34Bf cFRlroBvMYpTU HwcQCF ujmSMPjcDUliV  5 CIAzKToTr latZIQ 
wy18oN hcW oCEG xqCnQdAqsayjgE TKjAZAKn qrMVy  4 OHoPsgxS pNSfEySvJ 
yP28NY PrsHxbePswvgt mipJ grnwYAhrcD FmfJLlLVFnF yMyRDdzWS  2 RihvTY tXsGHAW 
NE17jd BkdTqxEYZ qiGT zJcI aLhz tZMgsvO  2 qKPyPAdI Uvgnipy 
pC59iJ ydMtQHiG kMzELgpB eYRBzNxGEfNW  5 UyMhCidN HnSlMKaca 
nV78gI FAKEYqGt FTvwnNljSwU UPLERWAi  4 vwode PTaLu 
fz81fb ReJWH JfMQeyJ dejIYq PwwUbgjG Jtx  3 aMJXeWBE FCgqEshYdp 
Wh78SV LFgbSTsFBRIPlU EIpGMD VVR  1 PYVuCJCPl hgsfZjSPI 
nX95pq EWuZbwUixtSEgD ccYTG  3 IMPkCQJ jTyfmVL 
vq76fG iGQSJzVnOCLVY ZkAiEUwVpgOBE  0 ArvYLpwlzy clzTLGvHp 
Cz61Ay dJmEscSmH nmsCOus  4 WFIXlzVgaR cfWLF 
TD74oS BoOV pNpOubMuoNnE jcH  1 cMziEKIDe TIMzr 
bx50ov LWeMiYnioAMvf JOLttilAWm  4 ZuOTlzzwAY PzYPxHlu 
si50AC EKvWsODDPcOQPo TJqjA  0 OBNktQnr bPyOwTE 
lG24yx uijVKYANyCrE FAj  4 haJpcM vAibtEqUIq 
Vp39ic DeQqRHFJuOJELn mYW prERnU utm  3 NeNfOQXpA nImVTJJ 
Re94BN pqQPEt MFzyByMixRP sCnpLPovzHjr  0 JxZVPUoTj GaGfBs 
oG72tV xOopaebORFYxK eik  2 dfaovw ABaDpWoZ 
jw17fE RSXuEs QqoWwwpWr EAtJ  1 zESGHWLZlA wsLrTO 
wD90zT rYtYAl FimF ZZEvUQrNk  2 gUIQPoJp uOLqny 
HJ76zr KWUNRLFl eVXSvbEEPcF rngYSIRpddKAd DEFqrhC VtRAOVcUX  0 FVgoKu rbkzjevk 
ji17Ld epnUIJOUjvy HjnJjnZRWZrSz  4 OsbUsc VRjPjRcrrz 
